consumer,metric,recorded_prey_species,prey_with_trait,prey_trait_coverage,included_in_analysis
Ponticola kessleri,ctmax,662,89,0.134441087613293,true
Salariopsis fluviatilis,ctmax,400,77,0.1925,true
Salmo labrax,ctmax,649,89,0.13713405238829,true
Salmo marmoratus,ctmax,85,60,0.705882352941177,true
Salmo salar,ctmax,777,101,0.12998712998713,true
Salvelinus fontinalis,ctmax,791,116,0.146649810366625,true
Salvelinus namaycush,ctmax,704,121,0.171875,true
Sander lucioperca,ctmax,119,74,0.621848739495798,true
Silurus glanis,ctmax,118,71,0.601694915254237,true
Squalius cephalus,ctmax,838,94,0.112171837708831,true
Halichoeres semicinctus,ctmax,51,1,0.0196078431372549,true
Bodianus rufus,ctmax,130,4,0.0307692307692308,true
Scomberomorus regalis,ctmax,73,13,0.178082191780822,true
Thalassoma bifasciatum,ctmax,140,3,0.0214285714285714,true
Abudefduf saxatilis,ctmax,140,1,0.00714285714285714,true
Apogon maculatus,ctmax,98,0,0.0,false
Canthigaster rostrata,ctmax,272,1,0.00367647058823529,true
Chaetodon capistratus,ctmax,152,0,0.0,false
Chaetodon striatus,ctmax,75,0,0.0,false
Halichoeres maculipinna,ctmax,149,1,0.00671140939597315,true
Hypoplectrus nigricans,ctmax,104,2,0.0192307692307692,true
Ocyurus chrysurus,ctmax,249,2,0.00803212851405622,true
Sphoeroides spengleri,ctmax,280,1,0.00357142857142857,true
Prognathodes aculeatus,ctmax,114,2,0.0175438596491228,true
Odontaster validus,ctmax,230,5,0.0217391304347826,true
Pachycara brachycephalum,ctmax,45,1,0.0222222222222222,true
Trematomus pennellii,ctmax,187,6,0.0320855614973262,true
Ectemnorhinus similis,ctmax,2,0,0.0,false
Zora spinimana,ctmax,3304,4,0.00121065375302663,true
Oedothorax apicatus,ctmax,39,1,0.0256410256410256,true
Tibellus maritimus,ctmax,779,4,0.00513478818998716,true
Euophrys frontalis,ctmax,1022,3,0.00293542074363992,true
Hypsypops rubicundus,ctmax,30,0,0.0,false
Arothron hispidus,ctmax,8,0,0.0,false
Thunnus thynnus,ctmax,109,6,0.055045871559633,true
Centropristis striata,ctmax,117,6,0.0512820512820513,true
Xyrichtys novacula,ctmax,16,1,0.0625,true
Camponotus pennsylvanicus,ctmax,25,0,0.0,false
Trachylepis striata,ctmax,2,0,0.0,false
Carcinus maenas,ctmax,184,15,0.0815217391304348,true
Coryphoblennius galerita,ctmax,117,4,0.0341880341880342,true
Diplodus sargus,ctmax,93,3,0.032258064516129,true
Gobius niger,ctmax,58,9,0.155172413793103,true
Gobius paganellus,ctmax,88,9,0.102272727272727,true
Lipophrys pholis,ctmax,91,6,0.0659340659340659,true
Lipophrys trigloides,ctmax,47,5,0.106382978723404,true
Pachygrapsus marmoratus,ctmax,79,3,0.0379746835443038,true
Haemulon flavolineatum,ctmax,154,1,0.00649350649350649,true
Halichoeres bivittatus,ctmax,158,3,0.0189873417721519,true
Alburnus alburnus,ctmax,406,16,0.0394088669950739,true
Abramis brama,ctmax,675,35,0.0518518518518519,true
Agabus bipustulatus,ctmax,127,7,0.0551181102362205,true
Alosa aestivalis,ctmax,155,4,0.0258064516129032,true
Alosa mediocris,ctmax,93,3,0.032258064516129,true
Alosa pseudoharengus,ctmax,98,1,0.0102040816326531,true
Alosa sapidissima,ctmax,117,6,0.0512820512820513,true
Centrarchus macropterus,ctmax,55,0,0.0,false
Chrosomus eos,ctmax,109,0,0.0,false
Coregonus artedi,ctmax,46,1,0.0217391304347826,true
Coregonus clupeaformis,ctmax,55,7,0.127272727272727,true
Dorosoma cepedianum,ctmax,138,4,0.0289855072463768,true
Dorosoma petenense,ctmax,88,0,0.0,false
Enneacanthus gloriosus,ctmax,54,1,0.0185185185185185,true
Erimyzon oblongus,ctmax,96,4,0.0416666666666667,true
Etheostoma olmstedi,ctmax,96,4,0.0416666666666667,true
Fundulus diaphanus,ctmax,225,4,0.0177777777777778,true
Leiostomus xanthurus,ctmax,213,9,0.0422535211267606,true
Lepisosteus osseus,ctmax,69,4,0.0579710144927536,true
Lepomis macrochirus,ctmax,94,7,0.074468085106383,true
Lucania parva,ctmax,162,1,0.00617283950617284,true
Luxilus cornutus,ctmax,176,5,0.0284090909090909,true
Menidia beryllina,ctmax,139,6,0.0431654676258993,true
Morone americana,ctmax,135,12,0.0888888888888889,true
Morone saxatilis,ctmax,203,48,0.236453201970443,true
Mugil cephalus,ctmax,233,0,0.0,false
Osmerus mordax,ctmax,70,5,0.0714285714285714,true
Pimephales promelas,ctmax,52,1,0.0192307692307692,true
Pseudopleuronectes americanus,ctmax,180,3,0.0166666666666667,true
Sander vitreus,ctmax,48,38,0.791666666666667,true
Scomber scombrus,ctmax,282,13,0.0460992907801418,true
Semotilus atromaculatus,ctmax,128,4,0.03125,true
Stenotomus chrysops,ctmax,140,3,0.0214285714285714,true
Strongylura marina,ctmax,110,1,0.00909090909090909,true
Lateolabrax japonicus,ctmax,55,1,0.0181818181818182,true
Paralichthys californicus,ctmax,84,16,0.19047619047619,true
Acipenser oxyrinchus,ctmax,82,0,0.0,false
Pomoxis nigromaculatus,ctmax,57,9,0.157894736842105,true
Umbra pygmaea,ctmax,14,1,0.0714285714285714,true
Lachnolaimus maximus,ctmax,190,3,0.0157894736842105,true
Lutjanus apodus,ctmax,152,13,0.0855263157894737,true
Halichoeres garnoti,ctmax,119,2,0.0168067226890756,true
Halichoeres radiatus,ctmax,185,1,0.00540540540540541,true
Hypoplectrus aberrans,ctmax,66,2,0.0303030303030303,true
Eleginus gracilis,ctmax,41,0,0.0,false
Scomberomorus niphonius,ctmax,18,4,0.222222222222222,true
Acanthogobius flavimanus,ctmax,25,2,0.08,true
Engraulis mordax,ctmax,47,0,0.0,false
Gillichthys mirabilis,ctmax,31,2,0.0645161290322581,true
Girella nigricans,ctmax,105,0,0.0,false
Leptocottus armatus,ctmax,63,5,0.0793650793650794,true
Acanthurus chirurgus,ctmax,81,0,0.0,false
Acanthurus coeruleus,ctmax,78,0,0.0,false
Acanthurus triostegus,ctmax,7,0,0.0,false
Archosargus rhomboidalis,ctmax,149,0,0.0,false
Bathygobius soporator,ctmax,43,4,0.0930232558139535,true
Chaetodon miliaris,ctmax,12,0,0.0,false
Echinometra lucunter,ctmax,34,0,0.0,false
Hippolyte obliquimanus,ctmax,21,0,0.0,false
Menippe nodifrons,ctmax,47,1,0.0212765957446809,true
Naso unicornis,ctmax,8,0,0.0,false
Palaemon northropi,ctmax,11,0,0.0,false
Parablennius marmoreus,ctmax,35,0,0.0,false
Pomacanthus arcuatus,ctmax,99,0,0.0,false
Pomacanthus paru,ctmax,111,0,0.0,false
Scartella cristata,ctmax,72,0,0.0,false
Scarus coelestinus,ctmax,28,0,0.0,false
Scarus iseri,ctmax,71,0,0.0,false
Scarus taeniopterus,ctmax,70,0,0.0,false
Sparisoma chrysopterum,ctmax,71,0,0.0,false
Sparisoma radians,ctmax,23,0,0.0,false
Sparisoma rubripinne,ctmax,71,0,0.0,false
Sparisoma viride,ctmax,71,0,0.0,false
Cyprichromis leptosoma,ctmax,4,0,0.0,false
Cyprichromis microlepidotus,ctmax,4,0,0.0,false
Hemigymnus fasciatus,ctmax,5,0,0.0,false
Macropharyngodon bipartitus,ctmax,4,0,0.0,false
Oxycheilinus digramma,ctmax,5,0,0.0,false
Sphoeroides maculatus,ctmax,145,3,0.0206896551724138,true
Syncrossus berdmorei,ctmax,3,0,0.0,false
Pterois volitans,ctmax,30,8,0.266666666666667,true
Thunnus albacares,ctmax,143,14,0.0979020979020979,true
Perissodus microlepis,ctmax,34,17,0.5,true
Halichoeres poeyi,ctmax,113,3,0.0265486725663717,true
Clupea harengus,ctmax,196,11,0.0561224489795918,true
Ethmalosa fimbriata,ctmax,27,0,0.0,false
Liza saliens,ctmax,37,0,0.0,false
Pegusa lascaris,ctmax,23,1,0.0434782608695652,true
Pomatoschistus minutus,ctmax,86,5,0.0581395348837209,true
Syngnathus acus,ctmax,29,1,0.0344827586206897,true
Apeltes quadracus,ctmax,45,1,0.0222222222222222,true
Atherinella brasiliensis,ctmax,71,1,0.0140845070422535,true
Azurina cyanea,ctmax,42,0,0.0,false
Bodianus parrae,ctmax,41,0,0.0,false
Clupea pallasii,ctmax,45,1,0.0222222222222222,true
Anchoa mitchilli,ctmax,147,7,0.0476190476190476,true
Cyprinodon variegatus,ctmax,15,0,0.0,false
Lagodon rhomboides,ctmax,118,3,0.0254237288135593,true
Pungitius pungitius,ctmax,26,0,0.0,false
Syngnathus scovelli,ctmax,14,0,0.0,false
Dikerogammarus villosus,ctmax,395,26,0.0658227848101266,true
Sarpa salpa,ctmax,104,0,0.0,false
Ameiurus catus,ctmax,122,1,0.00819672131147541,true
Ameiurus natalis,ctmax,116,0,0.0,false
Diplectrum formosum,ctmax,111,3,0.027027027027027,true
Diplodus holbrookii,ctmax,16,0,0.0,false
Elops saurus,ctmax,80,8,0.1,true
Engraulis japonicus,ctmax,30,0,0.0,false
Chanodichthys erythropterus,ctmax,19,5,0.263157894736842,true
Lutjanus guttatus,ctmax,31,1,0.032258064516129,true
Archosargus probatocephalus,ctmax,25,1,0.04,true
Cynoscion nebulosus,ctmax,141,16,0.113475177304965,true
Euthynnus alletteratus,ctmax,78,6,0.0769230769230769,true
Lepomis auritus,ctmax,28,1,0.0357142857142857,true
Sciaenops ocellatus,ctmax,134,19,0.141791044776119,true
Carlia longipes,ctmax,1,0,0.0,false
Crotaphytus collaris,ctmax,4,0,0.0,false
Pseudophryne corroboree,ctmax,1,0,0.0,false
Zootoca vivipara,ctmax,4,0,0.0,false
Agapetus fuscipes,ctmax,141,0,0.0,false
Drusus annulatus,ctmax,132,0,0.0,false
Elmis aenea,ctmax,162,0,0.0,false
Leuctra fusca,ctmax,135,0,0.0,false
Limnius volckmari,ctmax,159,0,0.0,false
Phoxinus phoxinus,ctmax,894,41,0.0458612975391499,true
Rhithrogena semicolorata,ctmax,154,0,0.0,false
Liza richardsonii,ctmax,26,0,0.0,false
Caenis luctuosa,ctmax,69,0,0.0,false
Ampullaceana balthica,ctmax,64,0,0.0,false
Simulium vittatum,ctmax,42,0,0.0,false
Ancylus fluviatilis,ctmax,83,0,0.0,false
Asellus aquaticus,ctmax,73,0,0.0,false
Ephemera danica,ctmax,80,0,0.0,false
Gobio gobio,ctmax,717,38,0.0529986052998605,true
Heptagenia sulphurea,ctmax,85,0,0.0,false
Leuciscus leuciscus,ctmax,631,33,0.05229793977813,true
Electrona antarctica,ctmax,35,0,0.0,false
Oncorhynchus nerka,ctmax,68,2,0.0294117647058824,true
Potamopyrgus antipodarum,ctmax,132,1,0.00757575757575758,true
Baetis rhodani,ctmax,78,0,0.0,false
Blicca bjoerkna,ctmax,595,30,0.0504201680672269,true
Cobitis bilineata,ctmax,565,29,0.0513274336283186,true
Cobitis taenia,ctmax,565,29,0.0513274336283186,true
Cottus gobio,ctmax,709,39,0.0550070521861777,true
Parachondrostoma toxostoma,ctmax,567,29,0.0511463844797178,true
Pseudorasbora parva,ctmax,578,29,0.0501730103806228,true
Rutilus aula,ctmax,567,29,0.0511463844797178,true
Rutilus pigus,ctmax,570,29,0.0508771929824561,true
Sabanejewia larvata,ctmax,566,29,0.0512367491166078,true
Telestes muticellus,ctmax,565,29,0.0513274336283186,true
Telestes souffia,ctmax,566,29,0.0512367491166078,true
Tinca tinca,ctmax,645,38,0.0589147286821705,true
Petromyzon marinus,ctmax,44,23,0.522727272727273,true
Ictalurus furcatus,ctmax,36,8,0.222222222222222,true
Catostomus macrocheilus,ctmax,8,1,0.125,true
Cottus asper,ctmax,11,7,0.636363636363636,true
Ptychocheilus oregonensis,ctmax,25,13,0.52,true
Gopherus agassizii,ctmax,15,0,0.0,false
Sauromalus ater,ctmax,3,0,0.0,false
Dentex angolensis,ctmax,72,0,0.0,false
Ctenopharyngodon idella,ctmax,30,0,0.0,false
Rhyacophila dorsalis,ctmax,235,7,0.0297872340425532,true
Thamnophis sirtalis,ctmax,129,23,0.178294573643411,true
Coluber constrictor,ctmax,91,20,0.21978021978022,true
Pseudonaja textilis,ctmax,51,20,0.392156862745098,true
Austrelaps superbus,ctmax,18,9,0.5,true
Piaractus mesopotamicus,ctmax,73,0,0.0,false
Pimephales notatus,ctmax,15,1,0.0666666666666667,true
Gobiomorphus breviceps,ctmax,50,1,0.02,true
Salvelinus alpinus,ctmax,170,25,0.147058823529412,true
Chaetodon sedentarius,ctmax,87,0,0.0,false
Chaetodon baronessa,ctmax,4,0,0.0,false
Chaetodon trifascialis,ctmax,3,0,0.0,false
Chaetodon lunula,ctmax,21,0,0.0,false
Chaetodon plebeius,ctmax,5,0,0.0,false
Phrurolithus festivus,ctmax,37,0,0.0,false
Agkistrodon contortrix,ctmax,32,6,0.1875,true
Gambusia affinis,ctmax,80,11,0.1375,true
Sterechinus neumayeri,ctmax,131,1,0.00763358778625954,true
Paralabrax clathratus,ctmax,52,5,0.0961538461538462,true
Trematomus bernacchii,ctmax,147,3,0.0204081632653061,true
Prenolepis imparis,ctmax,49,4,0.0816326530612245,true
Monomorium floricola,ctmax,15,0,0.0,false
Nacella concinna,ctmax,10,0,0.0,false
Notothenia coriiceps,ctmax,172,8,0.0465116279069768,true
Ictalurus punctatus,ctmax,52,20,0.384615384615385,true
Labeobarbus acutirostris,ctmax,3,0,0.0,false
Oncorhynchus kisutch,ctmax,91,22,0.241758241758242,true
Erythemis simplicicollis,ctmax,70,3,0.0428571428571429,true
Tautoga onitis,ctmax,54,3,0.0555555555555556,true
Tautogolabrus adspersus,ctmax,14,2,0.142857142857143,true
Trematomus hansoni,ctmax,112,6,0.0535714285714286,true
Linepithema humile,ctmax,32,4,0.125,true
Oncorhynchus keta,ctmax,63,1,0.0158730158730159,true
Hiodon alosoides,ctmax,20,7,0.35,true
Anax imperator,ctmax,10,3,0.3,true
Hagenius brevistylus,ctmax,29,4,0.137931034482759,true
Anax junius,ctmax,44,5,0.113636363636364,true
Pylodictis olivaris,ctmax,26,12,0.461538461538462,true
Bathyclarias worthingtoni,ctmax,10,0,0.0,false
Labidochromis caeruleus,ctmax,4,0,0.0,false
Mastacembelus shiranus,ctmax,8,0,0.0,false
Bagrus docmak,ctmax,32,5,0.15625,true
Hemachatus haemachatus,ctmax,4,1,0.25,true
Alburnus arborella,ctmax,362,14,0.0386740331491713,true
Dinocras cephalotes,ctmax,436,27,0.0619266055045872,true
Leucaspius delineatus,ctmax,368,15,0.0407608695652174,true
Thymallus thymallus,ctmax,494,30,0.0607287449392713,true
Solenopsis invicta,ctmax,37,4,0.108108108108108,true
Eucidaris tribuloides,ctmax,53,0,0.0,false
Holacanthus tricolor,ctmax,73,0,0.0,false
Anolis carolinensis,ctmax,38,3,0.0789473684210526,true
Polyodon spathula,ctmax,10,0,0.0,false
Halichoeres californicus,ctmax,21,0,0.0,false
Piaractus brachypomus,ctmax,16,0,0.0,false
Littorina saxatilis,ctmax,39,0,0.0,false
Alosa macedonica,ctmax,4,3,0.75,true
Leuciscus idus,ctmax,6,3,0.5,true
Sander canadensis,ctmax,20,17,0.85,true
Scomberomorus commerson,ctmax,17,4,0.235294117647059,true
Brycon amazonicus,ctmax,36,0,0.0,false
Acanthocybium solandri,ctmax,57,9,0.157894736842105,true
Crotalus atrox,ctmax,71,8,0.112676056338028,true
Varanus gouldii,ctmax,51,6,0.117647058823529,true
Varanus varius,ctmax,17,0,0.0,false
Thunnus obesus,ctmax,66,9,0.136363636363636,true
Xiphias gladius,ctmax,136,11,0.0808823529411765,true
Boops boops,ctmax,15,0,0.0,false
Acanthurus xanthopterus,ctmax,11,0,0.0,false
Acipenser brevirostrum,ctmax,65,0,0.0,false
Anguilla rostrata,ctmax,47,8,0.170212765957447,true
Dicentrarchus labrax,ctmax,35,7,0.2,true
Fundulus heteroclitus,ctmax,45,0,0.0,false
Trinectes maculatus,ctmax,32,1,0.03125,true
Crangon crangon,ctmax,147,9,0.0612244897959184,true
Ctenolabrus rupestris,ctmax,66,3,0.0454545454545455,true
Labrus bergylta,ctmax,188,2,0.0106382978723404,true
Mullus surmuletus,ctmax,184,5,0.0271739130434783,true
Pagellus bogaraveo,ctmax,97,3,0.0309278350515464,true
Pagurus bernhardus,ctmax,52,1,0.0192307692307692,true
Symphodus melops,ctmax,99,5,0.0505050505050505,true
Zoarces viviparus,ctmax,32,7,0.21875,true
Canthigaster valentini,ctmax,6,0,0.0,false
Oncorhynchus tshawytscha,ctmax,119,19,0.159663865546218,true
Thunnus alalunga,ctmax,77,7,0.0909090909090909,true
Gammarus fossarum,ctmax,1,0,0.0,false
Cyprinella spiloptera,ctmax,44,1,0.0227272727272727,true
Luciobarbus longiceps,ctmax,17,0,0.0,false
Acipenser transmontanus,ctmax,17,3,0.176470588235294,true
Serranus atricauda,ctmax,24,8,0.333333333333333,true
Scorpaena porcus,ctmax,56,7,0.125,true
Coregonus lavaretus,ctmax,34,2,0.0588235294117647,true
Plecodus straeleni,ctmax,45,39,0.866666666666667,true
Deronectes latus,ctmax,6,0,0.0,false
Megalops cyprinoides,ctmax,13,2,0.153846153846154,true
Amia calva,ctmax,22,13,0.590909090909091,true
Paralichthys olivaceus,ctmax,34,3,0.0882352941176471,true
Istiompax indica,ctmax,18,6,0.333333333333333,true
Thamnophis elegans,ctmax,57,22,0.385964912280702,true
Thamnophis ordinoides,ctmax,5,0,0.0,false
Notophthalmus viridescens,ctmax,6,0,0.0,false
Helobdella stagnalis,ctmax,26,4,0.153846153846154,true
Esox masquinongy,ctmax,22,17,0.772727272727273,true
Esox niger,ctmax,14,2,0.142857142857143,true
Micropterus dolomieu,ctmax,44,28,0.636363636363636,true
Anguilla dieffenbachii,ctmax,27,1,0.037037037037037,true
Lethocerus americanus,ctmax,15,4,0.266666666666667,true
Paralichthys lethostigma,ctmax,50,7,0.14,true
Hypsoblennius hentz,ctmax,35,3,0.0857142857142857,true
Microgadus tomcod,ctmax,17,0,0.0,false
Acipenser medirostris,ctmax,8,0,0.0,false
Hypomesus transpacificus,ctmax,10,0,0.0,false
Lepidopsetta bilineata,ctmax,30,1,0.0333333333333333,true
Oncorhynchus clarkii,ctmax,41,10,0.24390243902439,true
Oncorhynchus gorbuscha,ctmax,64,2,0.03125,true
Salvelinus leucomaenis,ctmax,17,3,0.176470588235294,true
Myoxocephalus quadricornis,ctmax,19,6,0.315789473684211,true
Osmerus eperlanus,ctmax,39,3,0.0769230769230769,true
Liza aurata,ctmax,28,0,0.0,false
Crotalus cerastes,ctmax,55,11,0.2,true
Pituophis catenifer,ctmax,90,6,0.0666666666666667,true
Crotalus scutulatus,ctmax,24,8,0.333333333333333,true
Crotalus viridis,ctmax,21,3,0.142857142857143,true
Heloderma suspectum,ctmax,15,1,0.0666666666666667,true
Pterygoplichthys pardalis,ctmax,4,0,0.0,false
Cymatogaster aggregata,ctmax,39,0,0.0,false
Liopsetta glacialis,ctmax,17,1,0.0588235294117647,true
Siganus canaliculatus,ctmax,12,0,0.0,false
Diplodus vulgaris,ctmax,46,1,0.0217391304347826,true
Hypsurus caryi,ctmax,27,0,0.0,false
Arizona elegans,ctmax,34,14,0.411764705882353,true
Poecilia reticulata,ctmax,13,0,0.0,false
Stegastes variabilis,ctmax,6,0,0.0,false
Hemidactylus frenatus,ctmax,15,2,0.133333333333333,true
Misumenoides formosipes,ctmax,49,0,0.0,false
Rana catesbeiana,ctmax,8,0,0.0,false
Anax longipes,ctmax,4,1,0.25,true
Anaxyrus boreas,ctmax,21,3,0.142857142857143,true
Pseudacris regilla,ctmax,16,2,0.125,true
Armadillidium vulgare,ctmax,4,1,0.25,true
Megalops atlanticus,ctmax,15,0,0.0,false
Atractosteus spatula,ctmax,14,6,0.428571428571429,true
Alosa alosa,ctmax,16,1,0.0625,true
Chondrostoma soetta,ctmax,56,6,0.107142857142857,true
Lepomis gulosus,ctmax,10,1,0.1,true
Neochanna burrowsius,ctmax,10,0,0.0,false
Cichlasoma urophthalmum,ctmax,11,0,0.0,false
Gobiomorphus hubbsi,ctmax,7,0,0.0,false
Synodontis schall,ctmax,9,0,0.0,false
Xyrichtys splendens,ctmax,7,0,0.0,false
Astatotilapia burtoni,ctmax,11,0,0.0,false
Brienomyrus brachyistius,ctmax,18,0,0.0,false
Clarias ngamensis,ctmax,6,0,0.0,false
Oreochromis niloticus,ctmax,47,2,0.0425531914893617,true
Daphnia magna,ctmax,13,0,0.0,false
Daphnia pulicaria,ctmax,3,0,0.0,false
Sparus aurata,ctmax,67,2,0.0298507462686567,true
Anolis cristatellus,ctmax,6,1,0.166666666666667,true
Anolis sagrei,ctmax,22,2,0.0909090909090909,true
Anabas testudineus,ctmax,11,0,0.0,false
Anisops sardeus,ctmax,1,0,0.0,false
Allothunnus fallai,ctmax,23,0,0.0,false
Chaenocephalus aceratus,ctmax,22,5,0.227272727272727,true
Galaxias vulgaris,ctmax,34,1,0.0294117647058824,true
Cheimarrichthys fosteri,ctmax,10,0,0.0,false
Lymnaea stagnalis,ctmax,7,0,0.0,false
Formica aserva,ctmax,2,0,0.0,false
Tapinoma sessile,ctmax,10,0,0.0,false
Galaxias depressiceps,ctmax,19,0,0.0,false
Anoplolepis gracilipes,ctmax,37,0,0.0,false
Lepechinia calycina,ctmax,1,0,0.0,false
Pogonomyrmex californicus,ctmax,4,0,0.0,false
Sceloporus grammicus,ctmax,1,0,0.0,false
Sceloporus magister,ctmax,1,0,0.0,false
Sceloporus occidentalis,ctmax,10,0,0.0,false
Channa punctata,ctmax,21,9,0.428571428571429,true
Paralabrax humeralis,ctmax,15,0,0.0,false
Pomoxis annularis,ctmax,11,4,0.363636363636364,true
Fundulus grandis,ctmax,52,5,0.0961538461538462,true
Lepomis punctatus,ctmax,6,0,0.0,false
Trimeresurus gracilis,ctmax,8,3,0.375,true
Halichoeres trimaculatus,ctmax,9,0,0.0,false
Pomatoschistus microps,ctmax,44,5,0.113636363636364,true
Paralabrax nebulifer,ctmax,27,0,0.0,false
Calopteryx virgo,ctmax,53,0,0.0,false
Crangonyx pseudogracilis,ctmax,20,1,0.05,true
Serratella ignita,ctmax,113,0,0.0,false
Planiliza macrolepis,ctmax,17,0,0.0,false
Aphredoderus sayanus,ctmax,15,0,0.0,false
Oreochromis mossambicus,ctmax,45,1,0.0222222222222222,true
Ambloplites rupestris,ctmax,75,6,0.08,true
Chrosomus cumberlandensis,ctmax,3,0,0.0,false
Clarias gariepinus,ctmax,36,4,0.111111111111111,true
Cyprinella lutrensis,ctmax,5,1,0.2,true
Devario devario,ctmax,14,0,0.0,false
Erimyzon sucetta,ctmax,6,0,0.0,false
Hemichromis elongatus,ctmax,4,0,0.0,false
Hypentelium nigricans,ctmax,8,0,0.0,false
Hypseleotris klunzingeri,ctmax,13,0,0.0,false
Micralestes acutidens,ctmax,4,0,0.0,false
Petroleuciscus borysthenicus,ctmax,8,0,0.0,false
Protochondrostoma genei,ctmax,3,0,0.0,false
Rheocles vatosoa,ctmax,3,0,0.0,false
Rhinichthys obtusus,ctmax,6,0,0.0,false
Schilbe mystus,ctmax,35,13,0.371428571428571,true
Siniperca roulei,ctmax,4,0,0.0,false
Spinibarbus hollandi,ctmax,3,0,0.0,false
Squalius keadicus,ctmax,1,0,0.0,false
Brycinus longipinnis,ctmax,18,0,0.0,false
Brycinus macrolepidotus,ctmax,8,0,0.0,false
Hemichromis fasciatus,ctmax,7,0,0.0,false
Hepsetus odoe,ctmax,13,2,0.153846153846154,true
Hydrocynus forskahlii,ctmax,25,6,0.24,true
Malapterurus electricus,ctmax,4,0,0.0,false
Marcusenius senegalensis,ctmax,5,0,0.0,false
Oreochromis andersonii,ctmax,10,1,0.1,true
Synodontis waterloti,ctmax,5,0,0.0,false
Colossoma macropomum,ctmax,21,0,0.0,false
Rheocles derhami,ctmax,3,0,0.0,false
Anematichthys repasson,ctmax,4,0,0.0,false
Lates calcarifer,ctmax,25,6,0.24,true
Melanotaenia splendida,ctmax,18,1,0.0555555555555556,true
Rhabdosargus holubi,ctmax,7,0,0.0,false
Tilapia mariae,ctmax,3,0,0.0,false
Labeo fimbriatus,ctmax,4,0,0.0,false
Coptotermes formosanus,ctmax,5,0,0.0,false
Calamus nodosus,ctmax,21,0,0.0,false
Pagellus acarne,ctmax,21,0,0.0,false
Lithobates pipiens,ctmax,11,0,0.0,false
Tiliqua rugosa,ctmax,2,0,0.0,false
Euthynnus affinis,ctmax,33,5,0.151515151515152,true
Katsuwonus pelamis,ctmax,30,2,0.0666666666666667,true
Orthopristis ruber,ctmax,9,0,0.0,false
Takifugu rubripes,ctmax,16,0,0.0,false
Acanthopagrus schlegelii,ctmax,28,1,0.0357142857142857,true
Symphodus bailloni,ctmax,6,0,0.0,false
Regina alleni,ctmax,8,3,0.375,true
Istiophorus platypterus,ctmax,46,5,0.108695652173913,true
Thunnus atlanticus,ctmax,21,0,0.0,false
Podarcis muralis,ctmax,14,0,0.0,false
