"consumer","degree_species","degree_all_taxa","self_links"
"Nyctalus lasiopterus",20,20,0
"Nycticorax nycticorax",160,160,0
"Oenanthe chrysopygia",105,105,0
"Oenanthe cypriaca",105,105,0
"Oenanthe deserti",105,105,0
"Oenanthe finschii",105,105,0
"Oenanthe isabellina",105,105,0
"Oenanthe leucura",105,105,0
"Oenanthe oenanthe",32,32,0
"Oenanthe pleschanka",105,105,0
"Ommatotriton ophryticus",81,81,1
"Ommatotriton vittatus",81,81,1
"Otis tarda",393,393,0
"Otus brucei",207,207,0
"Otus scops",313,313,1
"Pandion haliaetus",49,49,0
"Panthera pardus",20,20,0
"Paralaudakia caucasia",131,131,1
"Parus major",4,4,0
"Passer domesticus",23,23,0
"Pastor roseus",97,97,0
"Pelobates cultripes",29,29,1
"Pelophylax bedriagae",80,80,1
"Pelophylax bergeri",80,80,1
"Pelophylax caralitanus",80,80,1
"Pelophylax cerigensis",80,80,1
"Pelophylax cretensis",80,80,1
"Pelophylax epeiroticus",80,80,1
"Pelophylax esculentus",80,80,1
"Pelophylax kl",80,80,1
"Pelophylax kurtmuelleri",80,80,1
"Pelophylax lessonae",80,80,1
"Pelophylax ridibundus",80,80,1
"Perisoreus infaustus",121,121,0
"Pernis apivorus",128,128,0
"Phalacrocorax carbo",7,7,0
"Phalacrocorax pygmaeus",3,3,0
"Phalaropus lobatus",54,54,0
"Phasianus colchicus",393,393,0
"Philomachus pugnax",23,23,0
"Pica pica",588,588,0
"Platalea leucorodia",62,62,0
"Platyceps collaris",518,518,0
"Platyceps najadum",499,499,0
"Platyceps ventromaculatus",282,282,0
"Plegadis falcinellus",83,83,0
"Pleurodeles waltl",82,82,1
"Podarcis gaigeae",0,0,1
"Podarcis hispanicus",0,0,1
"Podarcis lilfordi",0,0,1
"Podarcis liolepis",0,0,1
"Podarcis melisellensis",0,0,1
"Podarcis raffoneae",0,0,1
"Podarcis vaucheri",0,0,1
"Podiceps cristatus",44,44,0
"Podiceps grisegena",23,23,0
"Podiceps nigricollis",23,23,0
"Porphyrio porphyrio",100,100,1
"Psammodromus jeanneae",0,0,1
"Psammodromus manuelae",0,0,1
"Pseudocerastes persicus",282,282,0
"Pseudopus apodus",499,499,0
"Pteromys volans",128,128,1
"Pyrrhocorax graculus",260,260,0
"Pyrrhocorax pyrrhocorax",291,291,0
"Rallus aquaticus",112,112,1
"Rana temporaria",1,1,1
"Rissa tridactyla",1,1,0
"Salamandra corsica",0,0,1
"Salamandra infraimmaculata",82,82,1
"Salamandra salamandra",0,0,1
"Saxicola torquatus",105,105,0
"Sciurus anomalus",128,128,1
"Sciurus vulgaris",128,128,1
"Sitta neumayer",92,92,0
"Sitta tephronota",92,92,0
"Spalerosophis diadema",499,499,0
"Spermophilus citellus",43,43,0
"Spermophilus fulvus",43,43,0
"Spermophilus major",43,43,0
"Spermophilus musicus",43,43,0
"Spermophilus pygmaeus",43,43,0
"Spermophilus suslicus",43,43,0
"Spermophilus taurensis",43,43,0
"Spermophilus xanthoprymnus",43,43,0
"Stellagama stellio",131,131,1
"Stercorarius longicaudus",241,241,0
"Stercorarius parasiticus",261,261,0
"Stercorarius pomarinus",260,260,0
"Stercorarius skua",274,274,1
"Strix aluco",714,714,1
"Strix nebulosa",287,287,0
"Strix uralensis",239,239,0
"Sturnus unicolor",227,227,0
"Sturnus vulgaris",253,253,1
"Surnia ulula",157,157,1
"Sus scrofa",566,566,0
"Tachybaptus ruficollis",23,23,0
"Tadorna ferruginea",102,102,0
"Tamias sibiricus",128,128,1
"Tatera indica",43,43,0
"Telescopus fallax",597,597,1
"Telescopus nigriceps",887,887,1
"Testudo graeca",0,0,1
"Testudo hermanni",1,1,0
"Tetrax tetrax",49,49,0
"Timon lepidus",622,622,1
"Trachylepis vittata",0,0,1
"Tringa nebularia",4,4,0
"Triturus carnifex",72,72,1
"Triturus marmoratus",28,28,1
"Triturus pygmaeus",82,82,1
"Turdus merula",142,142,1
"Turdus philomelos",96,96,0
"Turdus pilaris",40,40,1
"Turdus torquatus",98,98,0
"Turdus viscivorus",3,3,0
"Tyto alba",365,365,0
"Upupa epops",162,162,0
"Ursus arctos",213,213,0
"Ursus maritimus",53,53,0
"Vanellus spinosus",54,54,0
"Vanellus vanellus",23,23,0
"Varanus griseus",878,878,1
"Vipera ammodytes",507,507,0
"Vipera aspis",282,282,0
"Vipera berus",589,589,0
"Vipera darevskii",282,282,0
"Vipera dinniki",499,499,0
"Vipera eriwanensis",282,282,0
"Vipera kaznakovi",499,499,0
"Vipera latastei",630,630,0
"Vipera renardi",282,282,0
"Vipera seoanei",611,611,0
"Vipera ursinii",282,282,0
"Vormela peregusna",357,357,0
"Vulpes corsac",278,278,0
"Vulpes vulpes",838,838,0
"Zamenis hohenackeri",282,282,0
"Zamenis lineatus",499,499,0
"Zamenis longissimus",499,499,0
"Zamenis persicus",375,375,0
"Zamenis scalaris",385,385,0
"Zamenis situla",836,836,0
